t	U	P	msd	sigmaxy	f2tdu2
2.62	0.195765	0.307113	0.766222	-11.4433	12.8949
2.63	0.217501	0.307553	0.769513	-6.32953	22.6062
2.64	0.232972	0.307856	0.774027	-9.07078	28.669
2.65	0.181386	0.306826	0.773039	-9.17476	8.18046
2.66	0.211867	0.307428	0.780395	-4.65982	17.815
2.67	0.208272	0.30735	0.777346	2.30451	20.7386
2.68	0.239288	0.307918	0.787084	7.21783	46.3606
2.69	0.210641	0.30744	0.790043	3.55843	19.3055
2.7	0.226672	0.307752	0.791392	-7.45669	18.35
2.71	0.198342	0.307181	0.797401	-8.89876	13.5207
2.72	0.205149	0.307246	0.794598	-8.7725	26.2617
2.73	0.220164	0.307574	0.796449	-11.0502	20.9545
2.74	0.21309	0.307455	0.780594	-7.19029	20.7797
2.75	0.179749	0.306801	0.77292	-5.84357	5.23289
2.76	0.196956	0.307148	0.775506	-8.04061	10.957
2.77	0.169	0.306572	0.779896	-5.89499	5.64094
2.78	0.173544	0.306689	0.793287	-4.15973	4.16971
2.79	0.183817	0.306869	0.793873	-4.71117	12.6837
2.8	0.170898	0.306622	0.800078	-1.20128	5.90603
2.81	0.179823	0.306797	0.798798	-1.25686	9.41058
2.82	0.192286	0.307054	0.790548	-5.90229	12.4717
2.83	0.176861	0.306754	0.791937	-4.72629	7.37115
2.84	0.174467	0.306685	0.783309	-4.23966	9.05595
2.85	0.184455	0.306869	0.791493	-3.96218	13.9946
2.86	0.164999	0.306496	0.784866	-2.62414	4.09996
2.87	0.181554	0.306846	0.789286	-1.91863	8.35272
2.88	0.213878	0.307436	0.784161	-0.487944	27.4224
2.89	0.207978	0.307279	0.788311	-5.1613	45.071
2.9	0.196277	0.307107	0.788624	1.32693	22.0023
2.91	0.220539	0.307592	0.795573	-1.34361	29.2284
2.92	0.227231	0.307721	0.796714	7.88575	35.0597
2.93	0.22013	0.307602	0.802624	4.31477	24.3037
2.94	0.189015	0.307014	0.80041	2.51216	6.15954
2.95	0.156061	0.306332	0.796853	1.80175	0.819445
2.96	0.1865	0.306879	0.794728	0.837461	18.9903
2.97	0.197978	0.30715	0.802411	4.94615	17.2346
2.98	0.201836	0.307166	0.795806	4.754	35.8191
2.99	0.197969	0.307123	0.800458	12.5271	23.233
3	0.211326	0.307379	0.791905	14.9057	30.2174
3.01	0.251607	0.30814	0.797994	21.8265	63.2915
3.02	0.242604	0.307914	0.803248	23.0237	80.413
3.03	0.175737	0.306679	0.809657	13.3658	15.5855
3.04	0.162958	0.306415	0.806783	9.27704	9.61275
3.05	0.183985	0.306851	0.810639	7.05095	15.2049
3.06	0.197473	0.307144	0.815165	3.77794	17.0918
3.07	0.217211	0.307509	0.821496	5.66041	31.637
3.08	0.196245	0.307126	0.824315	3.76224	16.5751
3.09	0.188906	0.306992	0.825442	2.64746	12.6719
3.1	0.194529	0.307107	0.813844	6.58492	17.2388
3.11	0.194843	0.307105	0.81534	4.08634	14.8649
3.12	0.189712	0.307001	0.810228	6.05609	12.2316
3.13	0.160055	0.306399	0.80126	6.28516	3.73755
3.14	0.162724	0.306459	0.803572	7.18536	4.01375
3.15	0.165439	0.306499	0.801936	5.12867	5.28688
3.16	0.161379	0.306402	0.817816	2.98861	3.94206
3.17	0.159581	0.30634	0.809971	4.67536	7.59279
3.18	0.16039	0.306354	0.802291	6.84811	7.08033
3.19	0.171764	0.306604	0.80692	4.83666	9.28652
3.2	0.184736	0.306887	0.813127	4.70333	11.0917
3.21	0.185205	0.306925	0.799071	7.80233	6.95733
3.22	0.183598	0.30691	0.800076	4.16758	6.058
3.23	0.184376	0.306943	0.817824	3.75274	3.50228
3.24	0.167092	0.306543	0.814944	4.08776	3.74336
3.25	0.180494	0.306796	0.824754	1.9853	8.85366
3.26	0.184	0.306919	0.837699	6.49739	6.32364
3.27	0.206456	0.307363	0.844685	8.08919	12.9381
3.28	0.204688	0.307337	0.85194	4.40184	9.12708
3.29	0.218937	0.307613	0.851262	0.275968	15.601
3.3	0.219755	0.307671	0.850437	-2.91704	12.6109
3.31	0.234167	0.307933	0.853923	-4.6521	20.637
3.32	0.231261	0.307896	0.873304	-4.4044	17.08
3.33	0.237376	0.308029	0.870858	-4.08417	18.2011
3.34	0.249961	0.308265	0.865696	-3.5098	25.4817
3.35	0.197371	0.307207	0.857287	4.9496	6.62846
3.36	0.19421	0.307113	0.85974	7.03706	11.2094
3.37	0.191414	0.307034	0.851353	3.40746	11.5988
3.38	0.224493	0.307655	0.863605	1.47177	41.5118
3.39	0.202302	0.307282	0.860754	1.68125	10.1005
3.4	0.207384	0.307407	0.871937	0.276389	9.25763
3.41	0.219281	0.307617	0.87775	3.43404	18.0747
3.42	0.204285	0.307346	0.874535	3.51891	8.55466
3.43	0.191797	0.307107	0.880279	2.77503	5.20692
3.44	0.167111	0.306574	0.893066	4.16101	1.85861
3.45	0.170096	0.306635	0.904962	2.69166	4.03462
3.46	0.172874	0.306691	0.910261	2.58555	4.15665
3.47	0.189949	0.307064	0.913929	1.30569	6.27983
3.48	0.159313	0.306426	0.916146	1.34786	0.959256
3.49	0.179323	0.306852	0.923224	0.487548	5.17343
3.5	0.18496	0.306934	0.92148	0.283938	11.5615
3.51	0.193786	0.307084	0.917483	-0.800572	14.7083
3.52	0.184981	0.306923	0.919905	-0.903912	8.04909
3.53	0.174174	0.306655	0.923324	2.42783	14.7172
3.54	0.163437	0.306438	0.930003	1.39296	11.1862
3.55	0.147855	0.306132	0.932138	1.13365	2.68725
3.56	0.136579	0.305891	0.939493	3.39856	-0.624868
3.57	0.126838	0.305707	0.94258	2.009	-3.09153
3.58	0.143909	0.306056	0.926299	0.4922	0.193685
3.59	0.139623	0.305942	0.930759	4.82468	3.39607
3.6	0.14341	0.306059	0.934688	-0.574005	1.35415
3.61	0.129681	0.30578	0.942991	1.21734	-0.938959
